Country Name,Country Code,"Population, total",Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Life expectancy at birth, total (years)",GDP (current US$),Tax revenue (% of GDP),Expense (% of GDP),"Central government debt, total (% of GDP)","Inflation, consumer prices (annual %)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Access to electricity (% of population),Fixed broadband subscriptions (per 100 people),"Hospital beds (per 1,000 people)"
"Gambia, The",GMB,2573995,53.62,2.45,62.61,1812170891,,,,5.93,91.41,,,62.2,0.2,1.11
Georgia,GEO,3722716,64.59,14.5,72.77,16010869216,21.18,29.01,65.19,5.2,101.76,107.73,71.31,100,25.51,4.94
Germany,DEU,83160871,64.28,21.96,81.04,3.89E+12,10.55,14.58,55.07,0.14,102,101.31,72.39,100,43.3,7.8
Ghana,GHA,32180401,59.01,3.41,64.11,70043095504,11.34,21.88,,9.89,96.87,73.27,18.65,85.4,0.25,
Gibraltar,GIB,32709,62.73,20.04,82.2,,,,,,126.37,116.62,,100,58.08,
Greece,GRC,10698599,63.64,22.18,81.29,1.88E+11,25.3,46.19,253.23,-1.25,97.28,103.62,143.69,100,39.79,
Greenland,GRL,56367,70.11,8.99,71.85,3082884653,,,,,,,,100,27.92,
Grenada,GRD,123663,66.18,9.69,74.92,1043411111,,,,-0.74,,,,93.4,27.46,
Guam,GUM,169231,62.34,11.11,76.61,5916000000,,,,,,,,100,1.85,
Guatemala,GTM,16858333,61.67,4.85,71.8,77715183063,9.96,15,,3.21,102.14,51.91,18.69,96.6,3.53,0.43
Guinea,GIN,13205153,54.5,3.39,59.33,14177835841,,,,10.6,101.73,37.39,5.77,44.7,0.01,
Guinea-Bissau,GNB,2015828,56.22,2.8,60,1520479985,,,,1.14,,,,33.4,0.12,
Guyana,GUY,797202,65.08,6.05,68.49,5471256595,,,,0.99,99.12,85.24,,92.3,11.77,2.25
Haiti,HTI,11306801,62.92,4.43,64.05,14508222518,,,,22.8,,,,46.3,0.28,5.03
Honduras,HND,10121763,64.82,4.12,71.46,23352232484,,,,3.47,86.34,56.83,22.78,93.1,3.92,0.71
"Hong Kong SAR, China",HKG,7481000,69,18.76,85.5,3.45E+11,,,,0.25,105.13,100.49,89.95,100,38.52,
Hungary,HUN,9750149,65.35,20.1,75.57,1.57E+11,22.61,35.26,95.86,3.33,97.17,101.99,54.6,100,33.49,6.76
Iceland,ISL,366463,66.72,14.57,83.06,21629953194,22.4,37.33,101.25,2.85,98.56,110.49,74.59,100,38.68,2.83
India,IND,1396387127,67.22,6.67,70.15,2.67E+12,,,,6.62,101.29,77.63,29.82,96.5,1.64,1.62
Indonesia,IDN,271857970,67.57,6.71,68.81,1.06E+12,8.31,16.54,42.9,1.92,102.44,98.04,38.65,97,3.93,1.4
"Iran, Islamic Rep.",IRN,87290193,68.9,7.11,74.83,2.4E+11,,,,30.59,104.48,87.07,57.34,100,10.9,
Iraq,IRQ,42556984,58.11,3.4,69.12,1.81E+11,,,,0.57,,,,100,14.85,1.2
Ireland,IRL,4985382,65.28,14.54,82.56,4.29E+11,16.2,21.82,71.3,-0.33,101.37,135.22,74.68,100,30.44,2.91
Isle of Man,IMN,84046,63,21.84,80.59,6684225641,,,,,,,,100,,
Israel,ISR,9215100,59.96,11.81,82.65,4.13E+11,21.91,37.3,,-0.61,96.37,96.14,56.43,100,29.57,3.07
Italy,ITA,59438851,63.77,23.37,82.2,1.9E+12,24.76,37.15,176.13,-0.14,102.64,101.84,68.72,100,30.26,3.18
Jamaica,JAM,2820436,72.12,7.04,71.87,13812421836,25.71,29.83,106.28,5.23,89.87,85.16,,99.7,13.62,1.71
Japan,JPN,126261000,58.5,29.58,84.56,5.06E+12,12.32,23.6,215.76,-0.02,102.74,102.84,62.14,100,34.84,12.72
Jordan,JOR,10928721,63.33,3.61,75.18,43700383099,15.98,28.17,75.97,0.33,98.96,90.2,30.29,99.9,5.8,1.37
