"Population, total",Population growth (annual %),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),Urban population (% of total population),Net migration,"Death rate, crude (per 1,000 people)","Life expectancy at birth, total (years)","Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
47415794.0,0.11,14.11,19.9,81.06,-563.5,9.5,83.23,0.2,3.1,102.9,119.11,55.27,14.78
22156000.0,1.08,23.21,11.16,18.86,-563.5,7.36,76.4,0.1,6.7,96.87,91.01,55.27,5.26
47606.0,-0.08,19.77,9.66,30.91,-90.0,10.18,71.68,0.4,15.9,99.91,95.23,55.27,6.035
179651.0,0.23,18.29,9.08,18.94,0.0,10.3,71.11,0.4,17.4,99.91,95.23,55.27,6.035
31948.0,-1.88,22.44,10.49,63.095,-948.0,4.91,80.38,0.4,15.4,99.91,95.23,55.27,6.035
104332.0,-0.29,22.09,10.79,53.45,-379.0,13.43,69.63,0.4,11.4,99.91,95.23,35.74,6.035
45657202.0,2.7,41.09,3.42,35.59,-15223.0,6.8,65.27,0.1,53.4,99.91,95.23,55.27,11.47
612985.0,0.97,26.48,7.27,66.22,-492.0,8.67,70.27,0.4,17.2,97.55,95.23,55.27,8.46
10415811.0,0.6,17.71,20.1,88.24,-563.5,8.8,83.06,0.4,2.5,99.91,95.23,55.27,8.72
8704546.0,0.77,15.07,18.97,74.0,-563.5,8.2,83.75,0.2,4.0,101.48,103.61,71.89,5.1
21324367.0,2.62,33.02,4.62,56.12,-563.5,5.12,72.06,0.1,21.6,99.91,95.23,55.27,14.8
9750064.0,2.14,36.41,3.32,27.73,-3564.0,4.55,71.59,0.2,31.4,101.2,88.21,39.5,7.25
6719538.0,3.01,43.61,3.12,35.95,-4865.0,6.22,66.2,0.4,42.1,96.1,95.23,55.27,2.81
6719538.0,0.18,15.8,14.51,52.16,1133.0,7.92,78.72,1.1,8.4,104.19,102.94,44.08,1.22
1320942.0,1.6,35.29,5.29,31.7,-1997.0,7.23,67.74,0.2,50.3,99.91,95.23,55.27,2.34
8644829.0,2.37,40.25,3.1,43.36,-995.0,8.17,61.62,0.4,62.4,99.91,95.23,55.27,2.29
106017.0,0.72,34.62,6.2,23.1,-948.0,6.97,70.99,0.4,11.2,107.02,100.29,55.27,2.11
